,Date,weather.station,origin,destination,loc,origin.tract,destination.tract,Distance,post,treated,month,dayofweek,traveltime.mileEvening,median.age,median.income,per.male,per.female,per.white,per.bachelors,numvehicles,transScore,transRoutes,NumBikeshare,WalkScore,totalschool,undergrad,grad,college,dest.long,dest.lat,origin.long,origin.lat,Precip
49,6/25/19,FULTON CO-BROWN FLD ARPT,303.39,303.45,c,30339,30345,1.328099219,False,False,6,Tuesday,1.493362322,30.8,40477,52.73,47.27,63.19,44.04,4140,5.2,5,3,26,1262,637,329,966,-84.4675841,33.8972346,-84.4520485,33.88301,0
50,6/25/19,FULTON CO-BROWN FLD ARPT,303.45,303.44,c,30345,30344,0.841793384,False,False,6,Tuesday,2.336281924,30.0,49812,48.35,51.65,25.03,37.0,2670,5.3,6,3,22,1239,209,73,282,-84.4754314,33.9075148,-84.4675841,33.8972346,0
51,6/25/19,FULTON CO-BROWN FLD ARPT,312.07,303.2,c,31207,30320,3.336371018,False,False,6,Tuesday,,35.5,54383,43.63,56.37,49.71,34.02,2720,5.9,6,0,32,797,405,116,521,-84.45224,33.9217087,-84.466061,33.8748589,0
52,6/25/19,FULTON CO-BROWN FLD ARPT,312.11,303.45,c,31211,30345,2.825563612,False,False,6,Tuesday,1.946514308,31.5,43632,39.9,60.1,50.23,47.55,3110,3.9,1,0,47,845,299,339,638,-84.4675841,33.8972346,-84.4790865,33.8575174,0
53,6/25/19,FULTON CO-BROWN FLD ARPT,303.45,303.2,c,30345,30320,1.908341747,False,False,6,Tuesday,1.851520221,30.0,49812,48.35,51.65,25.03,37.0,2670,5.3,6,3,22,1239,209,73,282,-84.45224,33.9217087,-84.4675841,33.8972346,0
54,6/25/19,FULTON CO-BROWN FLD ARPT,10.01,4.0,m,1001,400,0.774324455,False,True,6,Tuesday,4.649213876,26.0,30290,64.5,35.5,54.01,37.55,765,9.6,61,4,84,1498,900,536,1436,-84.3785105,33.7883241,-84.3902405,33.7828223,0
55,6/25/19,FULTON CO-BROWN FLD ARPT,12.02,11.0,m,1202,1100,0.525034066,False,True,6,Tuesday,4.412412098,34.4,62728,61.28,38.72,69.74,43.34,2395,9.6,52,7,90,748,375,289,664,-84.3830169,33.7841633,-84.3851557,33.776784,0
56,6/25/19,FULTON CO-BROWN FLD ARPT,312.11,303.2,c,31211,30320,4.700134058,False,False,6,Tuesday,,31.5,43632,39.9,60.1,50.23,47.55,3110,3.9,1,0,47,845,299,339,638,-84.45224,33.9217087,-84.4790865,33.8575174,0
57,6/25/19,FULTON CO-BROWN FLD ARPT,312.07,303.44,c,31207,30344,2.322025115,False,False,6,Tuesday,2.490642024,35.5,54383,43.63,56.37,49.71,34.02,2720,5.9,6,0,32,797,405,116,521,-84.4754314,33.9075148,-84.466061,33.8748589,0
58,6/25/19,FULTON CO-BROWN FLD ARPT,10.01,12.01,m,1001,1201,0.72472971,False,True,6,Tuesday,6.301199745,26.0,30290,64.5,35.5,54.01,37.55,765,9.6,61,4,84,1498,900,536,1436,-84.380305,33.7763742,-84.3902405,33.7828223,0
59,6/25/19,FULTON CO-BROWN FLD ARPT,303.39,303.44,c,30339,30344,2.162291219,False,False,6,Tuesday,1.387417187,30.8,40477,52.73,47.27,63.19,44.04,4140,5.2,5,3,26,1262,637,329,966,-84.4754314,33.9075148,-84.4520485,33.88301,0
60,6/25/19,FULTON CO-BROWN FLD ARPT,303.44,312.07,c,30344,31207,2.322025115,False,False,6,Tuesday,3.208406296,31.0,36851,43.02,56.98,29.93,35.47,2215,4.9,4,0,23,988,333,89,422,-84.466061,33.8748589,-84.4754314,33.9075148,0
61,6/25/19,FULTON CO-BROWN FLD ARPT,12.02,13.0,m,1202,1300,0.782191155,False,True,6,Tuesday,5.262993122,34.4,62728,61.28,38.72,69.74,43.34,2395,9.6,52,7,90,748,375,289,664,-84.3715699,33.7761933,-84.3851557,33.776784,0
62,6/25/19,FULTON CO-BROWN FLD ARPT,303.45,312.11,c,30345,31211,2.825563612,False,False,6,Tuesday,1.468733523,30.0,49812,48.35,51.65,25.03,37.0,2670,5.3,6,3,22,1239,209,73,282,-84.4790865,33.8575174,-84.4675841,33.8972346,0
63,6/25/19,FULTON CO-BROWN FLD ARPT,312.11,303.44,c,31211,30344,3.464718747,False,False,6,Tuesday,2.025176408,31.5,43632,39.9,60.1,50.23,47.55,3110,3.9,1,0,47,845,299,339,638,-84.4754314,33.9075148,-84.4790865,33.8575174,0
64,6/25/19,FULTON CO-BROWN FLD ARPT,312.11,303.39,c,31211,30339,2.349627561,False,False,6,Tuesday,1.879730533,31.5,43632,39.9,60.1,50.23,47.55,3110,3.9,1,0,47,845,299,339,638,-84.4520485,33.88301,-84.4790865,33.8575174,0
65,6/25/19,FULTON CO-BROWN FLD ARPT,12.01,13.0,m,1201,1300,0.502386569,False,True,6,Tuesday,4.876722727,32.7,49606,52.87,47.13,73.43,31.83,2120,9.3,53,3,91,714,106,280,386,-84.3715699,33.7761933,-84.380305,33.7763742,0
66,6/25/19,FULTON CO-BROWN FLD ARPT,12.01,5.0,m,1201,500,1.398977216,False,True,6,Tuesday,4.872607352,32.7,49606,52.87,47.13,73.43,31.83,2120,9.3,53,3,91,714,106,280,386,-84.3854516,33.7961417,-84.380305,33.7763742,0
67,6/25/19,FULTON CO-BROWN FLD ARPT,10.01,12.02,m,1001,1202,0.509818637,False,True,6,Tuesday,4.969087333,26.0,30290,64.5,35.5,54.01,37.55,765,9.6,61,4,84,1498,900,536,1436,-84.3851557,33.776784,-84.3902405,33.7828223,0
68,6/25/19,FULTON CO-BROWN FLD ARPT,12.02,12.01,m,1202,1201,0.280330265,False,True,6,Tuesday,6.896627203,34.4,62728,61.28,38.72,69.74,43.34,2395,9.6,52,7,90,748,375,289,664,-84.380305,33.7763742,-84.3851557,33.776784,0
69,6/25/19,FULTON CO-BROWN FLD ARPT,10.01,13.0,m,1001,1300,1.167271662,False,True,6,Tuesday,5.896942037,26.0,30290,64.5,35.5,54.01,37.55,765,9.6,61,4,84,1498,900,536,1436,-84.3715699,33.7761933,-84.3902405,33.7828223,0
70,6/25/19,FULTON CO-BROWN FLD ARPT,303.44,303.45,c,30344,30345,0.841793384,False,False,6,Tuesday,2.554070917,31.0,36851,43.02,56.98,29.93,35.47,2215,4.9,4,0,23,988,333,89,422,-84.4675841,33.8972346,-84.4754314,33.9075148,0
71,6/25/19,FULTON CO-BROWN FLD ARPT,12.01,4.0,m,1201,400,0.832996532,False,True,6,Tuesday,4.441795202,32.7,49606,52.87,47.13,73.43,31.83,2120,9.3,53,3,91,714,106,280,386,-84.3785105,33.7883241,-84.380305,33.7763742,0
72,6/26/19,DEKALB-PEACHTREE AIRPORT,13.0,4.0,m,1300,400,0.929141787,False,True,6,Wednesday,5.130182209,32.0,52188,59.21,40.79,66.16,47.01,2050,8.9,11,2,89,835,162,251,413,-84.3785105,33.7883241,-84.3715699,33.7761933,0
73,6/26/19,DEKALB-PEACHTREE AIRPORT,303.2,303.44,c,30320,30344,1.654133801,False,False,6,Wednesday,2.005077621,42.0,57461,47.58,52.42,69.49,45.71,3550,2.6,3,3,1,1501,198,59,257,-84.4754314,33.9075148,-84.45224,33.9217087,0
74,6/26/19,DEKALB-PEACHTREE AIRPORT,11.0,12.02,m,1100,1202,0.525034066,False,True,6,Wednesday,5.745658919,36.8,84593,52.88,47.12,76.53,38.06,2240,9.4,40,5,90,448,137,227,364,-84.3851557,33.776784,-84.3830169,33.7841633,0
75,6/26/19,DEKALB-PEACHTREE AIRPORT,303.2,303.45,c,30320,30345,1.908341747,False,False,6,Wednesday,1.082964658,42.0,57461,47.58,52.42,69.49,45.71,3550,2.6,3,3,1,1501,198,59,257,-84.4675841,33.8972346,-84.45224,33.9217087,0
76,6/26/19,DEKALB-PEACHTREE AIRPORT,11.0,12.01,m,1100,1201,0.560883959,False,True,6,Wednesday,5.972714933,36.8,84593,52.88,47.12,76.53,38.06,2240,9.4,40,5,90,448,137,227,364,-84.380305,33.7763742,-84.3830169,33.7841633,0
77,6/26/19,DEKALB-PEACHTREE AIRPORT,11.0,4.0,m,1100,400,0.387231811,False,True,6,Wednesday,4.992702768,36.8,84593,52.88,47.12,76.53,38.06,2240,9.4,40,5,90,448,137,227,364,-84.3785105,33.7883241,-84.3830169,33.7841633,0
78,6/26/19,DEKALB-PEACHTREE AIRPORT,11.0,10.01,m,1100,1001,0.425523969,False,True,6,Wednesday,9.282673324,36.8,84593,52.88,47.12,76.53,38.06,2240,9.4,40,5,90,448,137,227,364,-84.3902405,33.7828223,-84.3830169,33.7841633,0
79,6/26/19,DEKALB-PEACHTREE AIRPORT,4.0,12.01,m,400,1201,0.832996532,False,True,6,Wednesday,6.122474467,44.6,47260,45.29,54.71,79.74,34.21,555,9.2,39,7,74,347,145,33,178,-84.380305,33.7763742,-84.3785105,33.7883241,0
80,6/26/19,DEKALB-PEACHTREE AIRPORT,4.0,13.0,m,400,1300,0.929141787,False,True,6,Wednesday,4.287110308,44.6,47260,45.29,54.71,79.74,34.21,555,9.2,39,7,74,347,145,33,178,-84.3715699,33.7761933,-84.3785105,33.7883241,0
81,6/26/19,DEKALB-PEACHTREE AIRPORT,13.0,12.01,m,1300,1201,0.502386569,False,True,6,Wednesday,6.402772016,32.0,52188,59.21,40.79,66.16,47.01,2050,8.9,11,2,89,835,162,251,413,-84.380305,33.7763742,-84.3715699,33.7761933,0
82,6/26/19,DEKALB-PEACHTREE AIRPORT,11.0,13.0,m,1100,1300,0.858514772,False,True,6,Wednesday,6.328759287,36.8,84593,52.88,47.12,76.53,38.06,2240,9.4,40,5,90,448,137,227,364,-84.3715699,33.7761933,-84.3830169,33.7841633,0
83,6/26/19,DEKALB-PEACHTREE AIRPORT,5.0,13.0,m,500,1300,1.594004151,False,True,6,Wednesday,6.608096552,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.3715699,33.7761933,-84.3854516,33.7961417,0
84,6/26/19,DEKALB-PEACHTREE AIRPORT,303.2,312.11,c,30320,31211,4.700134058,False,False,6,Wednesday,1.113443419,42.0,57461,47.58,52.42,69.49,45.71,3550,2.6,3,3,1,1501,198,59,257,-84.4790865,33.8575174,-84.45224,33.9217087,0
85,6/26/19,DEKALB-PEACHTREE AIRPORT,13.0,10.01,m,1300,1001,1.167271662,False,True,6,Wednesday,6.339569648,32.0,52188,59.21,40.79,66.16,47.01,2050,8.9,11,2,89,835,162,251,413,-84.3902405,33.7828223,-84.3715699,33.7761933,0
86,6/26/19,DEKALB-PEACHTREE AIRPORT,5.0,11.0,m,500,1100,0.840292634,False,True,6,Wednesday,5.295774139,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.3830169,33.7841633,-84.3854516,33.7961417,0
87,6/26/19,DEKALB-PEACHTREE AIRPORT,303.2,312.07,c,30320,31207,3.336371018,False,False,6,Wednesday,1.403720782,42.0,57461,47.58,52.42,69.49,45.71,3550,2.6,3,3,1,1501,198,59,257,-84.466061,33.8748589,-84.45224,33.9217087,0
88,6/26/19,DEKALB-PEACHTREE AIRPORT,5.0,12.01,m,500,1201,1.398977216,False,True,6,Wednesday,5.349145968,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.380305,33.7763742,-84.3854516,33.7961417,0
89,6/26/19,DEKALB-PEACHTREE AIRPORT,5.0,4.0,m,500,400,0.67202502,False,True,6,Wednesday,3.819302241,31.4,46672,51.5,48.5,64.72,35.64,2120,9.1,37,4,62,1474,452,347,799,-84.3785105,33.7883241,-84.3854516,33.7961417,0
