Column1,state,county,tract,NAME,Population,MedianAge,MedianIncome,Male,Female,X..Male,X..Female,White,Black,AmIndian,Asian,PacIslander,OtherRace,X..White,X..Black,X..AmIndian,X..Asian,X..PacIslander,X..Other,EduTotal,NoHighSchool,HighSchool,Associates,Bachelors,Graduate,X..NoHighSchool,X..HighSchool,X..Associates,X..Bachelors,X..Graduate,TransportTotal,Car,PublicTransport,Bicycle,Walked,TaxiCab,WorkHome,X..Car,X..Public.Transport,X..Bicycle,X..Walked,X..TaxiCab,X..WorkHome,AggTravelTime,NumVechicles,veh.pop,travel.pop,transit.score,transit.routes,bike.hubs,walk.score,total.school,k12,college,origin.area,code
551,13,121,10204,"Census Tract 102.04, Fulton County, Georgia",5161,46.3,72375,2495,2666,48.34,51.66,4874,74,16,110,0,87,94.44,1.43,0.31,2.13,0,1.69,3604,32,105,457,1390,1620,0.89,2.91,12.68,38.57,44.95,2519,2077,35,0,39,28,340,82.45,1.39,0,1.55,1.11,13.5,54190,1970,0.381708971,10.49990312,2.2,3,0,1,1411,1076,201,s,239
534,13,121,10205,"Census Tract 102.05, Fulton County, Georgia",5350,44.8,54531,2331,3019,43.57,56.43,4902,142,0,155,0,151,91.63,2.65,0,2.9,0,2.82,4145,110,271,720,1540,1504,2.65,6.54,17.37,37.15,36.28,2995,2535,66,0,14,54,326,84.64,2.2,0,0.47,1.8,10.88,69755,2475,0.462616822,13.03831776,4.2,3,0,24,966,569,292,s,16
900,13,121,10206,"Census Tract 102.06, Fulton County, Georgia",5703,50.1,83800,2649,3054,46.45,53.55,5014,256,6,378,0,49,87.92,4.49,0.11,6.63,0,0.86,4228,41,174,430,1867,1716,0.97,4.12,10.17,44.16,40.59,2499,2152,10,0,17,13,307,86.11,0.4,0,0.68,0.52,12.28,48260,2110,0.369980712,8.46221287,2.2,1,0,34,1257,978,181,s,237
535,13,121,10208,"Census Tract 102.08, Fulton County, Georgia",4308,37.4,35842,1976,2332,45.87,54.13,2746,1371,0,125,0,66,63.74,31.82,0,2.9,0,1.53,3385,71,403,671,1660,580,2.1,11.91,19.82,49.04,17.13,2634,2095,392,0,24,0,123,79.54,14.88,0,0.91,0,4.67,74755,1905,0.442200557,17.35259981,3.9,2,0,15,637,425,212,s,17
552,13,121,10209,"Census Tract 102.09, Fulton County, Georgia",5699,35.4,40381,2669,3030,46.83,53.17,2716,2526,0,200,0,257,47.66,44.32,0,3.51,0,4.51,4207,98,798,1117,1523,671,2.33,18.97,26.55,36.2,15.95,3995,3411,317,0,28,0,239,85.38,7.93,0,0.7,0,5.98,98385,3295,0.578171609,17.26355501,4.4,1,0,0,1051,532,482,s,133
1027,13,121,10210,"Census Tract 102.10, Fulton County, Georgia",6618,36.5,45739,3304,3314,49.92,50.08,4693,1364,0,222,7,332,70.91,20.61,0,3.35,0.11,5.02,4626,151,702,919,1868,986,3.26,15.18,19.87,40.38,21.31,3985,3266,284,0,37,17,381,81.96,7.13,0,0.93,0.43,9.56,105910,3165,0.47824116,16.00332427,5.9,1,0,4,1388,813,438,s,132
89,13,121,10211,"Census Tract 102.11, Fulton County, Georgia",2691,44.8,71346,1357,1334,50.43,49.57,2569,68,0,54,0,0,95.47,2.53,0,2.01,0,0,1861,55,51,252,801,702,2.96,2.74,13.54,43.04,37.72,1273,994,7,0,0,32,240,78.08,0.55,0,0,2.51,18.85,20595,960,0.356744705,7.65328874,5.3,1,0,54,725,663,29,s,164
90,13,121,10212,"Census Tract 102.12, Fulton County, Georgia",5464,33,33391,2687,2777,49.18,50.82,3833,275,728,208,5,415,70.15,5.03,13.32,3.81,0.09,7.6,3381,817,486,389,1099,590,24.16,14.37,11.51,32.51,17.45,2665,2133,249,0,96,60,127,80.04,9.34,0,3.6,2.25,4.77,65015,1925,0.352306003,11.89879209,4.8,5,3,21,1644,1393,221,s,596
1858,13,67,30320,"Census Tract 303.20, Cobb County, Georgia",7361,42,57461,3502,3859,47.58,52.42,5115,924,138,929,0,255,69.49,12.55,1.87,12.62,0,3.46,5601,22,294,895,2560,1830,0.39,5.25,15.98,45.71,32.67,4165,3645,19,0,70,44,387,87.52,0.46,0,1.68,1.06,9.29,95360,3550,0.482271431,12.95476158,2.6,3,3,1,1501,1101,257,c,37
1861,13,67,30339,"Census Tract 303.39, Cobb County, Georgia",6145,30.8,40477,3240,2905,52.73,47.27,3883,1196,0,851,0,215,63.19,19.46,0,13.85,0,3.5,4846,45,773,746,2134,1148,0.93,15.95,15.39,44.04,23.69,4741,4287,43,46,20,29,316,90.42,0.91,0.97,0.42,0.61,6.67,98125,4140,0.67371847,15.96826688,5.2,5,3,26,1262,248,966,c,56
1068,13,67,30344,"Census Tract 303.44, Cobb County, Georgia",3835,31,36851,1650,2185,43.02,56.98,1148,2017,0,524,0,146,29.93,52.59,0,13.66,0,3.81,2760,121,503,887,979,270,4.38,18.22,32.14,35.47,9.78,2396,2265,19,0,0,55,57,94.53,0.79,0,0,2.3,2.38,57790,2215,0.577574967,15.06910039,4.9,4,0,23,988,499,422,c,696
1069,13,67,30345,"Census Tract 303.45, Cobb County, Georgia",5121,30,49812,2476,2645,48.35,51.65,1282,1751,0,1148,0,940,25.03,34.19,0,22.42,0,18.36,3603,480,348,532,1333,910,13.32,9.66,14.77,37,25.26,3185,2896,55,0,29,46,159,90.93,1.73,0,0.91,1.44,4.99,79785,2670,0.521382542,15.57996485,5.3,6,3,22,1239,875,282,c,697
1479,13,67,31207,"Census Tract 312.07, Cobb County, Georgia",4834,35.5,54383,2109,2725,43.63,56.37,2403,1421,0,758,0,252,49.71,29.4,0,15.68,0,5.21,3812,33,547,880,1297,1055,0.87,14.35,23.08,34.02,27.68,3369,2795,0,0,36,137,401,82.96,0,0,1.07,4.07,11.9,66430,2720,0.56268101,13.74224245,5.9,6,0,32,797,276,521,c,312
1482,13,67,31211,"Census Tract 312.11, Cobb County, Georgia",4579,31.5,43632,1827,2752,39.9,60.1,2300,1669,0,167,16,427,50.23,36.45,0,3.65,0.35,9.33,3611,7,293,662,1717,932,0.19,8.11,18.33,47.55,25.81,3378,3217,15,0,0,26,120,95.23,0.44,0,0,0.77,3.55,86450,3110,0.679187596,18.87966805,3.9,1,0,47,845,194,638,c,554
