"","traveltime.mileEvening","treated","post","dayofweek","month","numvehicles","transRoutes","WalkScore","NumBikeshare","totalschool","origin.tract","Date","dayofweek.1"
"187",1.53101011201614,FALSE,FALSE,"Thursday",6,4140,5,26,3,1262,30339,"2019-06-27","Thursday"
"188",5.14212260353634,TRUE,FALSE,"Thursday",6,2120,53,91,3,714,1201,"2019-06-27","Thursday"
"189",2.82757025374266,FALSE,FALSE,"Thursday",6,2720,6,32,0,797,31207,"2019-06-27","Thursday"
"190",3.03629441464117,FALSE,FALSE,"Thursday",6,4140,5,26,3,1262,30339,"2019-06-27","Thursday"
"191",1.75739510328735,FALSE,FALSE,"Thursday",6,2215,4,23,0,988,30344,"2019-06-27","Thursday"
"192",2.13829193016181,FALSE,FALSE,"Thursday",6,2670,6,22,3,1239,30345,"2019-06-27","Thursday"
"193",6.96811504628811,TRUE,FALSE,"Thursday",6,765,61,84,4,1498,1001,"2019-06-27","Thursday"
"194",2.17918732084603,FALSE,FALSE,"Thursday",6,4140,5,26,3,1262,30339,"2019-06-27","Thursday"
"195",6.32803308291578,TRUE,FALSE,"Thursday",6,2395,52,90,7,748,1202,"2019-06-27","Thursday"
"196",6.89662720324839,TRUE,FALSE,"Thursday",6,2120,53,91,3,714,1201,"2019-06-27","Thursday"
"197",5.58260808861509,TRUE,FALSE,"Thursday",6,2395,52,90,7,748,1202,"2019-06-27","Thursday"
"198",6.22761628035666,TRUE,FALSE,"Thursday",6,765,61,84,4,1498,1001,"2019-06-27","Thursday"
"199",2.32750216353493,FALSE,FALSE,"Thursday",6,2215,4,23,0,988,30344,"2019-06-27","Thursday"
"200",5.85175416228544,TRUE,FALSE,"Thursday",6,2395,52,90,7,748,1202,"2019-06-27","Thursday"
"201",5.30209319849051,TRUE,FALSE,"Thursday",6,2395,52,90,7,748,1202,"2019-06-27","Thursday"
"202",1.92292019530633,FALSE,FALSE,"Thursday",6,2670,6,22,3,1239,30345,"2019-06-27","Thursday"
"203",2.29684567086983,FALSE,FALSE,"Thursday",6,2720,6,32,0,797,31207,"2019-06-27","Thursday"
"204",5.01512422731723,TRUE,FALSE,"Thursday",6,765,61,84,4,1498,1001,"2019-06-27","Thursday"
"205",5.36138370175873,TRUE,FALSE,"Thursday",6,765,61,84,4,1498,1001,"2019-06-27","Thursday"
"206",4.54639494909908,TRUE,FALSE,"Thursday",6,2120,53,91,3,714,1201,"2019-06-27","Thursday"
"207",6.15395161757427,TRUE,FALSE,"Thursday",6,765,61,84,4,1498,1001,"2019-06-27","Thursday"
"208",6.25520558610682,TRUE,FALSE,"Thursday",6,2120,53,91,3,714,1201,"2019-06-27","Thursday"
"209",1.95861426333914,TRUE,FALSE,"Thursday",6,765,61,84,4,1498,1001,"2019-06-27","Thursday"
"210",2.72005807679427,FALSE,FALSE,"Thursday",6,2670,6,22,3,1239,30345,"2019-06-27","Thursday"
"211",4.78921309375634,TRUE,FALSE,"Thursday",6,2120,53,91,3,714,1201,"2019-06-27","Thursday"
"212",6.95608088603502,TRUE,FALSE,"Thursday",6,2395,52,90,7,748,1202,"2019-06-27","Thursday"
"213",2.19183673447469,FALSE,FALSE,"Thursday",6,4140,5,26,3,1262,30339,"2019-06-27","Thursday"
"214",2.59526841027988,FALSE,FALSE,"Thursday",6,2720,6,32,0,797,31207,"2019-06-27","Thursday"
"215",1.34116994724561,FALSE,FALSE,"Thursday",6,4140,5,26,3,1262,30339,"2019-06-27","Thursday"
