,minutes_per_mile,treated,post,scooter,origin_tract,destination,day_of_week,month,numvehicles,totalschool,tract,date,transit.routes,walk.score,bike.hubs,precip,week_num
162,2.2972748623495423,0,0,1,30320,30344,Tuesday,7,3550,1501,cumberland,2018-07-31,3,1,3,1,31
163,2.5491690358527817,0,0,1,30320,30344,Wednesday,8,3550,1501,cumberland,2018-08-01,3,1,3,1,31
164,2.700305539954725,0,0,1,30320,30344,Thursday,8,3550,1501,cumberland,2018-08-02,3,1,3,1,31
165,2.660002472194207,0,0,1,30320,30344,Saturday,8,3550,1501,cumberland,2018-08-04,3,1,3,0,31
166,2.851442044056669,0,0,1,30320,30344,Sunday,8,3550,1501,cumberland,2018-08-05,3,1,3,0,31
167,2.6196994044336885,0,0,1,30320,30344,Monday,8,3550,1501,cumberland,2018-08-06,3,1,3,0,32
168,2.680154006074466,0,0,1,30320,30344,Tuesday,8,3550,1501,cumberland,2018-08-07,3,1,3,0,32
169,3.3250030902427583,0,0,1,30320,30344,Wednesday,8,3550,1501,cumberland,2018-08-08,3,1,3,1,32
170,2.4786386672718743,0,1,1,30320,30344,Thursday,8,3550,1501,cumberland,2018-08-09,3,1,3,1,32
171,3.4257607596440542,0,1,1,30320,30344,Friday,8,3550,1501,cumberland,2018-08-10,3,1,3,0,32
172,4.100837144632735,0,1,1,30320,30344,Saturday,8,3550,1501,cumberland,2018-08-11,3,1,3,0,32
173,4.574398190818825,0,1,1,30320,30344,Sunday,8,3550,1501,cumberland,2018-08-12,3,1,3,0,32
174,3.194018120021074,0,1,1,30320,30344,Monday,8,3550,1501,cumberland,2018-08-13,3,1,3,0,33
175,2.508865968092264,0,1,1,30320,30344,Tuesday,8,3550,1501,cumberland,2018-08-14,3,1,3,0,33
176,2.8413662771165398,0,1,1,30320,30344,Wednesday,8,3550,1501,cumberland,2018-08-15,3,1,3,0,33
177,2.9118966456974458,0,1,1,30320,30344,Thursday,8,3550,1501,cumberland,2018-08-16,3,1,3,0,33
178,2.6297751713738178,0,1,1,30320,30344,Sunday,8,3550,1501,cumberland,2018-08-19,3,1,3,1,33
179,2.680154006074466,0,1,1,30320,30344,Monday,8,3550,1501,cumberland,2018-08-20,3,1,3,1,34
180,3.7381095347880713,0,1,1,30320,30344,Tuesday,8,3550,1501,cumberland,2018-08-21,3,1,3,1,34
181,3.506366895165091,0,1,1,30320,30344,Wednesday,8,3550,1501,cumberland,2018-08-22,3,1,3,0,34
182,2.327502163169931,0,1,1,30320,30344,Thursday,8,3550,1501,cumberland,2018-08-23,3,1,3,0,34
183,2.780911675475761,0,1,1,30320,30344,Friday,8,3550,1501,cumberland,2018-08-24,3,1,3,0,34
184,2.82121474323628,0,1,1,30320,30344,Saturday,8,3550,1501,cumberland,2018-08-25,3,1,3,0,34
185,2.488714434212004,0,1,1,30320,30344,Sunday,8,3550,1501,cumberland,2018-08-26,3,1,3,0,34
186,2.438335599511356,0,1,1,30320,30344,Monday,8,3550,1501,cumberland,2018-08-27,3,1,3,0,35
187,2.790987442415891,0,1,1,30320,30344,Tuesday,8,3550,1501,cumberland,2018-08-28,3,1,3,0,35
188,3.1637908192006856,0,1,1,30320,30344,Wednesday,8,3550,1501,cumberland,2018-08-29,3,1,3,0,35
189,4.040382542991958,0,1,1,30320,30344,Thursday,8,3550,1501,cumberland,2018-08-30,3,1,3,0,35
190,2.992502781218483,0,1,1,30320,30344,Friday,8,3550,1501,cumberland,2018-08-31,3,1,3,0,35
191,2.9219724126375755,0,1,1,30320,30344,Sunday,9,3550,1501,cumberland,2018-09-02,3,1,3,0,35
192,2.4786386672718743,0,1,1,30320,30344,Monday,9,3550,1501,cumberland,2018-09-03,3,1,3,0,36
193,3.073108916739519,0,1,1,30320,30344,Tuesday,9,3550,1501,cumberland,2018-09-04,3,1,3,0,36
194,3.032805848979001,0,1,1,30320,30344,Wednesday,9,3550,1501,cumberland,2018-09-05,3,1,3,0,36
195,2.095759523546951,0,1,1,30320,30344,Thursday,9,3550,1501,cumberland,2018-09-06,3,1,3,0,36
196,1.3362386501310448,0,0,1,30320,30345,Thursday,7,3550,1501,cumberland,2018-07-12,3,1,3,0,28
197,2.034925526016558,0,0,1,30320,30345,Saturday,7,3550,1501,cumberland,2018-07-14,3,1,3,0,28
