"","Travel.Time.per.Mile..Minutes.Mile.","post","treatment","June","Aug","Sept","Mon","Wed","Thur","Fri","Sat","Sun","Vehicles","TransRoutes","WalkScore","NumBikeshare","school.population","event","Precip","tract","Date","DoW"
"103",5.22695619335329,0,1,1,0,0,0,0,0,0,0,0,605,9,66,1,609,0,0,25,"2019-06-25","Tuesday"
"104",4.47596941231973,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"105",1.69684130090849,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"106",5.69974997317288,0,1,1,0,0,0,0,0,0,0,0,460,56,79,4,374,0,0,35,"2019-06-25","Tuesday"
"107",4.49318552929307,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"108",3.33807464530324,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"109",2.60050498536612,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"110",4.17177559640563,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"111",7.09206261451677,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"112",6.06540921483905,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"113",3.44045075557434,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"114",4.08890189620044,0,1,1,0,0,0,0,0,0,0,0,605,9,66,1,609,0,0,25,"2019-06-25","Tuesday"
"115",4.03962328652726,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"116",4.1377166164375,0,1,1,0,0,0,0,0,0,0,0,505,5,24,0,420,0,0,85,"2019-06-25","Tuesday"
"117",7.31101975232724,0,1,1,0,0,0,0,0,0,0,0,2395,52,92,7,748,0,0,12.02,"2019-06-25","Tuesday"
"118",5.18352756388682,0,1,1,0,0,0,0,0,0,0,0,605,9,66,1,609,0,0,25,"2019-06-25","Tuesday"
"119",2.8706949869131,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"120",3.80282546583105,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"121",4.11635459731818,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"122",2.15843926265627,0,1,1,0,0,0,0,0,0,0,0,1040,54,91,11,1134,0,0,119,"2019-06-25","Tuesday"
"123",5.00936279975022,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"124",2.67767896397627,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"125",3.31768085369709,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"126",5.76647887657472,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"127",3.85005700723953,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"128",2.41252182681186,0,1,1,0,0,0,0,0,0,0,0,680,7,33,0,496,0,0,40,"2019-06-25","Tuesday"
"129",4.91633384560277,0,1,1,0,0,0,0,0,0,0,0,605,9,66,1,609,0,0,25,"2019-06-25","Tuesday"
"130",3.48185252235809,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"131",7.79482629351175,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"132",2.7597079940261,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"133",6.04859626555148,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"134",5.23286524309208,0,1,1,0,0,0,0,0,0,0,0,505,5,24,0,420,0,0,85,"2019-06-25","Tuesday"
"135",1.74692393799114,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"136",2.86257621608587,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"137",5.70647092479858,0,1,1,0,0,0,0,0,0,0,0,520,14,86,2,487,0,0,42,"2019-06-25","Tuesday"
"138",1.7993756761122,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"139",3.36533188113229,0,1,1,0,0,0,0,0,0,0,0,520,5,28,0,1202,0,0,76.03,"2019-06-25","Tuesday"
"140",3.96382329052839,0,0,1,0,0,0,0,0,0,0,0,1070,11,58,0,742,0,0,123,"2019-06-25","Tuesday"
"141",3.31785052825392,0,0,1,0,0,0,0,0,0,0,0,1070,11,61,0,742,0,0,123,"2019-06-25","Tuesday"
"142",5.67553869948271,0,0,1,0,0,0,0,0,0,0,0,1070,11,58,0,742,0,0,123,"2019-06-25","Tuesday"
"143",2.09350184830036,0,1,1,0,0,0,0,0,0,0,0,520,5,28,0,1202,0,0,76.03,"2019-06-25","Tuesday"
"144",3.12393240965296,0,1,1,0,0,0,0,0,0,0,0,185,8,43,0,381,0,0,66.02,"2019-06-25","Tuesday"
"145",5.24122688256128,0,1,1,0,0,0,0,0,0,0,0,185,8,43,0,381,0,0,66.02,"2019-06-25","Tuesday"
"146",4.29618558655281,0,0,1,0,0,0,0,0,0,0,0,1070,11,58,0,742,0,0,123,"2019-06-25","Tuesday"
"147",4.70840417532611,0,1,1,0,0,0,0,0,0,0,0,185,8,43,0,381,0,0,66.02,"2019-06-25","Tuesday"
"148",3.6993342957757,0,1,1,0,0,0,0,0,0,0,0,520,5,28,0,1202,0,0,76.03,"2019-06-25","Tuesday"
"149",3.95277722729643,0,1,1,0,0,0,0,0,0,0,0,185,8,43,0,381,0,0,66.02,"2019-06-25","Tuesday"
"150",5.88700650091114,0,1,1,0,0,0,1,0,0,0,0,2245,3,82,2,956,0,0,100.01,"2019-06-26","Wednesday"
"151",5.41848921751008,0,1,1,0,0,0,1,0,0,0,0,1655,39,87,7,347,0,0,4,"2019-06-26","Wednesday"
"152",12.8853448729222,0,1,1,0,0,0,1,0,0,0,0,1655,39,87,7,347,0,0,4,"2019-06-26","Wednesday"
"153",10.0995329117018,0,1,1,0,0,0,1,0,0,0,0,2340,9,68,0,1211,0,0,94.03,"2019-06-26","Wednesday"
"154",2.26328756598218,0,0,1,0,0,0,1,0,0,0,0,1810,8,95,0,2264,0,0,225,"2019-06-26","Wednesday"
"155",3.92850456323343,0,1,1,0,0,0,1,0,0,0,0,2245,3,82,2,956,0,0,100.01,"2019-06-26","Wednesday"
"156",4.00373871655461,0,1,1,0,0,0,1,0,0,0,0,2245,3,82,2,956,0,0,100.01,"2019-06-26","Wednesday"
"157",5.67492544724693,0,0,1,0,0,0,1,0,0,0,0,1810,8,95,0,2264,0,0,225,"2019-06-26","Wednesday"
"158",3.44646973850636,0,0,1,0,0,0,1,0,0,0,0,525,9,63,0,720,0,0,212.04,"2019-06-26","Wednesday"
"159",5.99896845255771,0,0,1,0,0,0,1,0,0,0,0,985,11,39,0,645,0,0,231.13,"2019-06-26","Wednesday"
"160",6.20158186923682,0,1,1,0,0,0,1,0,0,0,0,2925,9,79,0,1119,0,0,94.02,"2019-06-26","Wednesday"
"161",5.91844169909412,0,0,1,0,0,0,1,0,0,0,0,730,7,14,0,559,0,0,231.11,"2019-06-26","Wednesday"
"162",6.37549379206082,0,0,1,0,0,0,1,0,0,0,0,2455,9,14,0,1145,0,0,101.22,"2019-06-26","Wednesday"
"163",3.73717470882753,0,1,1,0,0,0,1,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-26","Wednesday"
"164",5.41398010388354,0,1,1,0,0,0,1,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-26","Wednesday"
"165",5.61889195314954,0,1,1,0,0,0,1,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-26","Wednesday"
"166",4.18691200708996,0,0,1,0,0,0,1,0,0,0,0,1810,8,95,0,2264,0,0,225,"2019-06-26","Wednesday"
"167",4.54678367031714,0,0,1,0,0,0,1,0,0,0,0,2665,5,74,0,903,0,0,214.05,"2019-06-26","Wednesday"
"168",4.84698466702399,0,1,1,0,0,0,1,0,0,0,0,480,13,78,5,625,0,0,30,"2019-06-26","Wednesday"
"169",3.06652377621863,0,1,1,0,0,0,1,0,0,0,0,480,13,78,5,625,0,0,30,"2019-06-26","Wednesday"
"170",9.24993839418131,0,1,1,0,0,0,1,0,0,0,0,2340,9,68,0,1211,0,0,94.03,"2019-06-26","Wednesday"
"171",1.7234854756841,0,0,1,0,0,0,1,0,0,0,0,985,11,39,0,645,0,0,231.13,"2019-06-26","Wednesday"
"172",3.87236724391523,0,1,1,0,0,0,1,0,0,0,0,955,5,57,1,505,0,0,208.01,"2019-06-26","Wednesday"
"173",1.45586192828556,0,1,1,0,0,0,1,0,0,0,0,955,5,57,1,505,0,0,208.01,"2019-06-26","Wednesday"
"174",3.32904365560878,0,0,1,0,0,0,1,0,0,0,0,1260,11,31,0,476,0,0,101.15,"2019-06-26","Wednesday"
"175",4.60191758912298,0,1,1,0,0,0,1,0,0,0,0,1655,39,87,7,347,0,0,4,"2019-06-26","Wednesday"
"176",4.76560973146373,0,1,1,0,0,0,1,0,0,0,0,1655,39,87,7,347,0,0,4,"2019-06-26","Wednesday"
"177",4.52364443814441,0,1,1,0,0,0,1,0,0,0,0,2340,9,68,0,1211,0,0,94.03,"2019-06-26","Wednesday"
"178",2.47449060503889,0,0,1,0,0,0,1,0,0,0,0,2480,8,50,0,1382,0,0,212.15,"2019-06-26","Wednesday"
"179",1.90376925423544,0,0,1,0,0,0,1,0,0,0,0,730,7,14,0,559,0,0,231.11,"2019-06-26","Wednesday"
"180",2.81536573725608,0,0,1,0,0,0,1,0,0,0,0,985,11,39,0,645,0,0,231.13,"2019-06-26","Wednesday"
"181",2.62430733364364,0,0,1,0,0,0,1,0,0,0,0,1260,11,31,0,476,0,0,101.15,"2019-06-26","Wednesday"
"182",3.26471873602133,0,1,1,0,0,0,1,0,0,0,0,480,13,78,5,625,0,0,30,"2019-06-26","Wednesday"
"183",5.07340619779837,0,1,1,0,0,0,1,0,0,0,0,955,5,57,1,505,0,0,208.01,"2019-06-26","Wednesday"
"184",2.88330008231362,0,1,1,0,0,0,1,0,0,0,0,955,5,57,1,505,0,0,208.01,"2019-06-26","Wednesday"
"185",1.74986775232457,0,0,1,0,0,0,1,0,0,0,0,2665,5,74,0,903,0,0,214.05,"2019-06-26","Wednesday"
"186",3.7887138982422,0,1,1,0,0,0,1,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-26","Wednesday"
"187",3.79551900035567,0,0,1,0,0,0,1,0,0,0,0,2015,10,68,0,1666,0,0,226,"2019-06-26","Wednesday"
"188",4.25539240838353,0,0,1,0,0,0,1,0,0,0,0,730,7,14,0,559,0,0,231.11,"2019-06-26","Wednesday"
"189",6.67918459062961,0,0,1,0,0,0,1,0,0,0,0,2610,9,59,3,1375,0,0,101.1,"2019-06-26","Wednesday"
"190",1.48114632121592,0,1,1,0,0,0,1,0,0,0,0,2925,9,79,0,1119,0,0,94.02,"2019-06-26","Wednesday"
"191",2.36108203092602,0,0,1,0,0,0,1,0,0,0,0,730,7,14,0,559,0,0,231.11,"2019-06-26","Wednesday"
"192",3.93424380981229,0,1,1,0,0,0,1,0,0,0,0,480,13,78,5,625,0,0,30,"2019-06-26","Wednesday"
"193",2.92912218053732,0,0,1,0,0,0,1,0,0,0,0,2480,8,50,0,1382,0,0,212.15,"2019-06-26","Wednesday"
"194",2.51716468374404,0,1,1,0,0,0,1,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-26","Wednesday"
"195",4.40212221272282,0,1,1,0,0,0,1,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-26","Wednesday"
"196",2.71775556407599,0,1,1,0,0,0,1,0,0,0,0,2305,10,70,2,677,0,0,204,"2019-06-26","Wednesday"
"197",4.05266621355835,0,1,1,0,0,0,1,0,0,0,0,480,13,78,5,625,0,0,30,"2019-06-26","Wednesday"
"198",1.42787176553451,0,0,1,0,0,0,1,0,0,0,0,985,11,39,0,645,0,0,231.13,"2019-06-26","Wednesday"
"199",2.37137439007808,0,1,1,0,0,0,1,0,0,0,0,2340,9,68,0,1211,0,0,94.03,"2019-06-26","Wednesday"
"200",4.48547604004736,0,0,1,0,0,0,1,0,0,0,0,2665,5,74,0,903,0,0,214.05,"2019-06-26","Wednesday"
"201",4.23016641913364,0,1,1,0,0,0,1,0,0,0,0,2925,9,79,0,1119,0,0,94.02,"2019-06-26","Wednesday"
"202",5.27007778319792,0,0,1,0,0,0,1,0,0,0,0,2015,10,68,0,1666,0,0,226,"2019-06-26","Wednesday"
"203",1.83785136694597,0,1,1,0,0,0,1,0,0,0,0,2925,9,79,0,1119,0,0,94.02,"2019-06-26","Wednesday"
"204",3.52795380466833,0,1,1,0,0,0,1,0,0,0,0,480,13,78,5,625,0,0,30,"2019-06-26","Wednesday"
"205",6.18886369400543,0,1,1,0,0,0,1,0,0,0,0,1655,39,87,7,347,0,0,4,"2019-06-26","Wednesday"
"206",2.89719561822415,0,0,1,0,0,0,1,0,0,0,0,1750,15,54,0,936,0,0,213.01,"2019-06-26","Wednesday"
