Date,weather.station,Station,lat,long,tract,Parking.plain,Parking,WalkScore,TransScore,TransRoutes,NumBikeshare,post,DoW,origin.tract,destination.tract,origin,destination,treatment,dest.long,dest.lat,distance,Vehicles,school.population,K12,College,event,Travel.Time.per.Mile..Minutes.Mile.,Mon,Wed,Thur,Fri,Sat,Sun,month,June,Aug,Sept,Precip,dayofweek,festival
6/25/19,DEKALB-PEACHTREE AIRPORT,Arts Center   ,33.78885,-84.386841,4,limited,1,87,9.2,39,7,0,Tuesday,4,5,4,5,1,-84.3854516,33.7961417,0.510656689,1655,347,169,178,0,5.352584997,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9,7,0,0,Tuesday,23111,23115,231.11,231.15,0,-84.2414147,33.7738177,0.81384035,730,559,449,93,0,4.546346219,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204,free,1,70,9.1,10,2,0,Tuesday,204,31,204,31,1,-84.3530446,33.7520808,0.991945806,2305,677,468,128,0,3.259586677,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9,7,0,0,Tuesday,23111,23112,231.11,231.12,0,-84.2386721,33.7648909,0.684714316,730,559,449,93,0,2.580151498,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,92,94.02,92,1,-84.3618468,33.8122786,0.91592463,2925,1119,195,924,0,1.71047553,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Brookhaven  ,33.8596031,-84.3394018,214.05,free,1,74,8.1,5,0,0,Tuesday,21405,21413,214.05,214.13,0,-84.3234915,33.8518694,1.058973442,2665,903,535,240,0,3.730027444,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Inman Park/Reynoldstown,33.7577651,-84.3536191,30,free,1,78,9,13,5,0,Tuesday,30,29,30,29,1,-84.3693491,33.7580053,0.904754173,480,625,329,244,0,3.997402583,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,9404,94.03,94.04,1,-84.351653,33.8381071,0.6255163,2340,1211,548,583,0,2.398019046,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lenox  ,33.8448208,-84.3589471,94.03,free,1,68,9.1,9,0,0,Tuesday,9403,21415,94.03,214.15,1,-84.3448974,33.8397088,0.881228872,2340,1211,548,583,0,7.073455635,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9,7,0,0,Tuesday,23111,23114,231.11,231.14,0,-84.2300879,33.7808851,0.787910613,730,559,449,93,0,2.199911138,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Lindbergh Center   ,33.8236541,-84.3700046,94.02,free,1,79,9.4,9,0,0,Tuesday,9402,9403,94.02,94.03,1,-84.3599075,33.8315945,0.798930745,2925,1119,195,924,0,1.335117811,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204,free,1,70,9.1,10,2,0,Tuesday,204,205,204,205,1,-84.3416194,33.7526586,0.671102085,2305,677,468,128,0,5.463649646,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Indian Creek,33.7696029,-84.2282,231.11,free,1,14,9,7,0,0,Tuesday,23111,23204,231.11,232.04,0,-84.21084,33.7748198,1.061398394,730,559,449,93,0,3.721505538,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Candler Park ,33.7623471,-84.3410014,204,free,1,70,9.1,10,2,0,Tuesday,204,202,204,202,1,-84.3401136,33.7755362,0.91372647,2305,677,468,128,0,3.337979255,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Decatur ,33.7746118,-84.29751,225,none,0,95,8.6,8,0,0,Tuesday,225,228,225,228,0,-84.289345,33.7630876,0.925122286,1810,2264,1544,434,0,6.179363265,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Kensington,33.7719453,-84.2510786,231.13,free,1,39,9,11,0,0,Tuesday,23113,230,231.13,230,0,-84.2684881,33.7708628,1.003824971,985,645,356,176,0,1.826347607,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Dunwoody  ,33.920888,-84.34428,212.15,free,1,50,7.6,8,0,0,Tuesday,21215,21216,212.15,212.16,0,-84.3271655,33.9277554,1.091133664,2480,1382,1001,122,0,2.764708639,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Brookhaven  ,33.8596031,-84.3394018,214.05,free,1,74,8.1,5,0,0,Tuesday,21405,21416,214.05,214.16,0,-84.3339712,33.847324,0.904830283,2665,903,535,240,0,1.713028431,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
6/25/19,DEKALB-PEACHTREE AIRPORT,Kensington,33.7719453,-84.2510786,231.13,free,1,39,9,11,0,0,Tuesday,23113,23102,231.13,231.02,0,-84.2570051,33.7656513,0.55287283,985,645,356,176,0,4.461544377,0,0,0,0,0,0,6,1,0,0,0,Tuesday,0
